CODIGO,NOMBRE,UNITID,PRECIOVENTA,COSTOFINANCIERO,IDLINEA,IDCATEGORIA,CodIDProveedor,ESTADO,TIPOFABRICANTE,NUMEROPARTE,LINEA,CATEGORIA,UEN,MARCA,PRECIOMINIMO,DESCRIPCION,IMAGEN150,IMAGEN450
SBUAIR0044,TECALAN 10 MM NEGRO,RLL,22590,6628.4,5637148519,5637148345,470947430001-31,Comercial,OEM,07201007T,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,14990,ROLLO 25 MT ,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0044.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0044.jpg?alt=media
SBUAIR0045,TECALAN 12 MM NEGRO,RLL,26790,1332.5,5637148519,5637148345,470947430001-31,Comercial,OEM,07201209T,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,19990,ROLLO 25 MT ,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0045.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0045.jpg?alt=media
SBUAIR0046,TECALAN 16 MM NEGRO,RLL,35690,12676.5,5637148519,5637148345,470947430001-31,Comercial,OEM,07201612T,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,31990,ROLLO 25 MT ,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0046.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0046.jpg?alt=media
SBUAIR0050,MANGUERA ESPIRAL M16 AMARILLA,Un,15890,4087.3,5637148519,5637148345,470947430001-31,Comercial,OEM,08205516VWTAM,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,9980,20 ESPIRAS ,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0050.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0050.jpg?alt=media
SBUAIR0051,MANGUERA ESPIRAL M16 ROJA,Un,15890,4403.5,5637148519,5637148345,470947430001-31,Comercial,OEM,08205516VWTVM,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,9980,20 ESPIRAS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0051.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0051.jpg?alt=media
SBUAIR0052,MANGUERA ESPIRAL 1/2 AMARILLA,Un,14990,4099.6,5637148519,5637148345,470947430001-31,Comercial,OEM,0820UN012TAM,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,7989,16 ESPIRAS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0052.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0052.jpg?alt=media
SBUAIR0053,MANGUERA ESPIRAL 1/2 ROJA,Un,14990,4135.7,5637148519,5637148345,470947430001-31,Comercial,OEM,0820UN012TVM,MANGUERAS / TECALAN,SISTEMA NEUMATICO,SISTEMA DE FRENO,SUNTECH,7989,16 ESPIRAS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FSBUAIR0053.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FSBUAIR0053.jpg?alt=media
HDPACC0030,SOPLADOR DE AIRE PARA CABINA,UN,11190,3642.9,5637148406,5637147587,470947430001-31,Normal,ALTERNATIVO,0831B014LCAZ,OTROS COMPONENTES ACCESORIOS,ACCESORIOS,CAJA DE CARGA EQUIPOS,HDP,9810,35 MT COLOR AZUL,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FHDPACC0030.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FHDPACC0030.jpg?alt=media
BATFRE0006,TAMBOR FRENO 6 HOYOS 128 X 325 MM. DEL / TRAS,UN,51790,29637.1,5637173830,5637148343,07041007/0001-09,Normal,ALTERNATIVO,8535,TAMBORES DE FRENO,FRICCION,SISTEMA DE FRENO,BATISTA,45813,BATISTA  VW 2R0609617A DEL / TRAS BUS 8T,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FBATFRE0006.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FBATFRE0006.jpg?alt=media
FIRSUS0035,KIT BOLSA Y PLATO SUPERIOR 1T19L-11,UN,104990,67038.3,5637148650,5637148373,57497539/0001-15,Normal,OEM,"950,735",PULMONES SUSPENSION / LEVANTE,SUSPENSIONES,SUSPENSION Y ENGANCHE,FIRESTONE,119282,SOLO BOLSA Y PLATO SUPERIOR ( SIN CAMPANA INFERIOR),https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FFIRSUS0035.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FFIRSUS0035.jpg?alt=media
FIRSUS0041,PULMON SUSPENSION 1T19L-11,UN,133990,72008.4,5637148650,5637148373,57497539/0001-15,Normal,OEM,"950,736",PULMONES SUSPENSION / LEVANTE,SUSPENSIONES,SUSPENSION Y ENGANCHE,FIRESTONE,117889,SUSPENSION NEUMATICA COMBINADA 123 GENERACION  CON BASE INFERIOR DE ACERO,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FFIRSUS0041.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FFIRSUS0041.jpg?alt=media
